OrderId,CustomerId,OrderStatusId,PaymentStatusId,ShippingStatusId,OrderSubtotalInclTax,OrderSubTotalDiscountInclTax,OrderSubTotalDiscountExclTax,OrderTotal,RefundedAmount,OrderDiscount,CurrencyRate,CustomerCurrencyCode,OrderDateTime
2187,2860166,30,30,10,12.6,0,0,12.6,0,0,1,USD,2017-06-20 09:41:41
2186,2052068,30,30,10,461.52,0,0,461.52,0,0,1,USD,2017-06-19 21:27:15
2185,1712908,30,30,10,30,0,0,30,0,0,1,USD,2017-06-19 21:10:24
2184,2842895,30,30,10,7,0,0,7,0,0,1,USD,2017-06-19 18:35:57
2183,2857388,30,30,10,250,0,0,250,0,0,1,USD,2017-06-19 16:17:57
2182,258542,30,30,10,5.34,0,0,0,0,5.34,1,USD,2017-06-19 15:05:54
2181,2134674,30,30,10,5,0,0,5,0,0,1,USD,2017-06-19 13:52:29
2180,1564005,30,30,10,13.85,0,0,13.85,0,0,1,USD,2017-06-19 02:39:21
2179,2001484,30,30,10,17,0,0,17,0,0,1,USD,2017-06-18 21:53:55
2178,2214020,30,30,10,5,0,0,5,0,0,1,USD,2017-06-18 21:12:18
2177,2052068,30,30,10,15,0,0,15,0,0,1,USD,2017-06-18 16:39:00
2176,2852556,30,30,10,2,0,0,2,0,0,1,USD,2017-06-18 09:31:08
2175,1553856,30,30,10,20,0,0,20,0,0,1,USD,2017-06-18 00:11:09
2174,1922193,30,30,10,39,0,0,39,0,0,1,USD,2017-06-17 13:30:48
2173,2036664,30,30,10,186.69,0,0,186.69,0,0,1,USD,2017-06-17 11:29:44
2172,2753455,30,30,10,432,0,0,432,0,0,1,USD,2017-06-16 23:39:51
2171,2605509,30,30,10,147.7,0,0,147.7,0,0,1,USD,2017-06-16 23:35:34
2170,2829194,30,30,10,350,0,0,350,0,0,1,USD,2017-06-16 16:22:19
2169,2845984,30,30,10,27.69,0,0,27.69,0,0,1,USD,2017-06-16 15:29:07
2168,2069709,30,30,10,112,0,0,112,0,0,1,USD,2017-06-16 13:26:36
2167,2229608,30,30,10,750,0,0,750,0,0,1,USD,2017-06-16 12:57:16
2166,2841106,30,30,10,4014.33,0,0,4014.33,0,0,1,USD,2017-06-16 08:00:20
2165,1882363,30,30,10,60,0,0,60,0,0,1,USD,2017-06-16 02:04:28
2164,2843288,30,30,10,240,0,0,240,0,0,1,USD,2017-06-15 21:14:49
2163,2843288,30,30,10,1050,0,0,1050,0,0,1,USD,2017-06-15 21:12:33
2162,2843019,30,30,10,250,0,0,250,0,0,1,USD,2017-06-15 19:26:36
2161,2842895,30,30,10,1,0,0,1,0,0,1,USD,2017-06-15 18:37:44
2160,1994385,30,30,10,15,0,0,15,0,0,1,USD,2017-06-15 18:19:55
